Company,Location,Official Representative,Alternate Representative,Email Address,Telephone,Website
Mfly Travel and Tours,Quezon City,Ms. Marilou Ramirez,Ms. Leonies Ramirez,mflytravelandtours@gmail.com,,-
"MK Ching Travel & Tours, Inc.",Manila,Ms. Cynthia V. Lirio,Ms. Bianca Camille Lirio-Sancho,chinglirio@yahoo.com.ph,(632)8353-2586,-
"New Era Travel & Tours, Inc.",Manila,Ms. Julita G. Maballo,Ms. Trudy Lim,julie.maballo@yahoo.com.ph,"(632)8242-0356, 8 242-6774-75",-
New Goldmines Tours & Travel,Caloocan City,Mr. Ruben Co,,builtwelltrd@yahoo.com,(632)8362-9852; 8252-3452,-
Novaturient Travel and Tours,Tarlac City,Mr. Raymond S. Espiritu,Ms. Aida Adeline V. Martin,ashiranova2018@gmail.com,(045) 606-0082,-
Octagon Travel,Manila,Mr. Edric Lim Chua,Ms. Jennifer Lim Chua,octagontravel2@gmail.com,(632)8313-9353,-
Pan Pacific Travel Corporation,Manila,Ms. Abigail Jaye Fu-Ko,Ms. Genevieve Ringor,abigailpptc@gmail.com,(632)8243-6666,www.panpacifictravel.com.ph
"Panda Travel Service, Inc.",Manila,Ms. Irene Jean Chua,Ms. Eden Sacueza,jean.chua@pandatour.com,(632)8242-2585,www.chinapanorama.com
Regent Travel Corporation,Manila,Mr. Chris Jordan C. Mamaril,Ms. Maria D. Sanchez,jordan.mamaril@regenttravelmanila.com,(632)8400-1555to59; 8275-5007,www.regenttravelph.com
RNB Travel and Tours Corporation,Makati City,Mr. Horacio M. Rellosa,Ms. Maria Lynn Rellosa,russrellosa@yahoo.com,(632)8894-3435;8856-5269;8816-7562,-
"Robelle Travel, Inc.",Manila,Ms. Amelia L. Bautista,Ms. Jaimie Alaoria,travelexplorer2006@yahoo.com,(632)8521-9168-69,www.robelletravel.com.ph
"Royal Travels, Inc.",Makati City,Ms. Evangeline T. Manotok,Mr. Natividad T. Villonco,mariegel.royaltravelsinc@gmail.com,(632)843-7347;844-5829,-
"Sharp Travel Service Philippines, Inc.",Makati City,Ms. Ma. Lourdes T. Banzon,Ms. Laura C. Macatangay,ltbanzon@cfsharp.com,(632)8527-6031,www.sharptravelservice.com
Smartflight Travel and Academic Services,Legazpi City,Ms. Cherrie Anne Miguel,Mr. Homer C. Miguel,smartflightgm@gmail.com,(052)284-0775,https://www.travelsmartflight.com
Southeast Travel Corporation,Manila,Ms. Marlene S. Insigne,Mr. Marberto 'Bong' Morales,marlene@southeasttravel.com.ph,(632)8524-5676to80,www.southeasttravel.com.ph
"Spectrum Travel and Tours, Inc.",Mandaluyong City,Ms. Ma. Beatriz C. De Chavez,Ms. Arlene P. Alcantara,mcdechavez@unilab.com.ph,(632)8637-1294;7747-1194,www.spectrumtraveltours.com.ph
Strikers Travel Corp,Cavite City,Ms. Maria Lourdes Japson,Ms. Marinel Diane Javier,japson.mlf@gmail.com,-,www.strikerstravel.com
Swift Travel & Tours,Cagayan de Oro City,Mr. Tito Noel A. Mora,Ms. Maria Angelica Mikaela Mora,travelwithswift@gmail.com,(088)880-5703,www.swifttravelandtours.com
"Titan Travel & Tours, Inc.",Manila,Ms. Delia S. Pang,,deliapang2003@yahoo.com,(632)8708-9981to83,-
